job_id,station_id,ready_s,start_s,end_s
J0150,S2,0,5960,6000
J0151,S1,0,6000,6040
J0152,S2,0,6040,6080
J0153,S1,0,6080,6120
J0154,S2,0,6120,6160
J0155,S1,0,6160,6200
J0156,S2,0,6200,6240
J0157,S1,0,6240,6280
J0158,S2,0,6280,6320
J0159,S1,0,6320,6360
J0160,S2,0,6360,6400
J0161,S1,0,6400,6440
J0162,S2,0,6440,6480
J0163,S1,0,6480,6520
J0164,S2,0,6520,6560
J0165,S1,0,6560,6600
J0166,S2,0,6600,6640
J0167,S1,0,6640,6680
J0168,S2,0,6680,6720
J0169,S1,0,6720,6760
J0170,S2,0,6760,6800
J0171,S1,0,6800,6840
J0172,S2,0,6840,6880
J0173,S1,0,6880,6920
J0174,S2,0,6920,6960
J0175,S1,0,6960,7000
J0176,S2,0,7000,7040
J0177,S1,0,7040,7080
J0178,S2,0,7080,7120
J0179,S1,0,7120,7160
J0180,S2,0,7160,7200
J0181,S1,0,7200,7240
J0182,S2,0,7240,7280
J0183,S1,0,7280,7320
J0184,S2,0,7320,7360
J0185,S1,0,7360,7400
J0186,S2,0,7400,7440
J0187,S1,0,7440,7480
J0188,S2,0,7480,7520
J0189,S1,0,7520,7560
J0190,S2,0,7560,7600
J0191,S1,0,7600,7640
J0192,S2,0,7640,7680
J0193,S1,0,7680,7720
J0194,S2,0,7720,7760
J0195,S1,0,7760,7800
J0196,S2,0,7800,7840
J0197,S1,0,7840,7880
J0198,S2,0,7880,7920
J0199,S1,0,7920,7960
J0200,S2,0,7960,8000
J0201,S1,0,8000,8040
J0202,S2,0,8040,8080
J0203,S1,0,8080,8120
J0204,S2,0,8120,8160
J0205,S1,0,8160,8200
J0206,S2,0,8200,8240
J0207,S1,0,8240,8280
J0208,S2,0,8280,8320
J0209,S1,0,8320,8360
J0210,S2,0,8360,8400
J0211,S1,0,8400,8440
J0212,S2,0,8440,8480
J0213,S1,0,8480,8520
J0214,S2,0,8520,8560
J0215,S1,0,8560,8600
J0216,S2,0,8600,8640
J0217,S1,0,8640,8680
J0218,S2,0,8680,8720
J0219,S1,0,8720,8760
J0220,S2,0,8760,8800
J0221,S1,0,8800,8840
J0222,S2,0,8840,8880
J0223,S1,0,8880,8920
J0224,S2,0,8920,8960
J0225,S1,0,8960,9000
J0226,S2,0,9000,9040
J0227,S1,0,9040,9080
J0228,S2,0,9080,9120
J0229,S1,0,9120,9160
J0230,S2,0,9160,9200
J0231,S1,0,9200,9240
J0232,S2,0,9240,9280
J0233,S1,0,9280,9320
J0234,S2,0,9320,9360
J0235,S1,0,9360,9400
J0236,S2,0,9400,9440
J0237,S1,0,9440,9480
J0238,S2,0,9480,9520
J0239,S1,0,9520,9560
J0240,S2,0,9560,9600
